Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,18997.679688,19176.810547,18991.589844,19114.369141,117800,19114.369141
2016-12-29,19301.039062,19301.039062,19092.220703,19145.140625,000,19145.140625
2016-12-28,19392.109375,19442.130859,19364.730469,19401.720703,77700,19401.720703
2016-12-27,19353.429688,19478.580078,19352.060547,19403.060547,110200,19403.060547
2016-12-26,19394.410156,19432.480469,19385.939453,19396.640625,000,19396.640625
2016-12-22,19396.849609,19427.669922,19327.509766,19427.669922,113500,19427.669922
2016-12-21,19547.279297,19592.900391,19375.189453,19444.490234,000,19444.490234
2016-12-20,19367.839844,19511.199219,19356.810547,19494.529297,119600,19494.529297
2016-12-19,19345.839844,19399.259766,19307.140625,19391.599609,106000,19391.599609
2016-12-16,19438.390625,19439.970703,19360.359375,19401.150391,148700,19401.150391
2016-12-15,19327.699219,19436.900391,19192.599609,19273.789062,000,19273.789062
2016-12-14,19270.009766,19284.279297,19184.75,19253.609375,000,19253.609375
2016-12-13,19120.759766,19253.509766,19060.720703,19250.519531,000,19250.519531
2016-12-12,19183.820312,19280.929688,19054.00,19155.029297,000,19155.029297
2016-12-09,18839.980469,19042.480469,18821.410156,18996.369141,212300,18996.369141
2016-12-08,18674.189453,18765.470703,18614.009766,18765.470703,000,18765.470703
2016-12-07,18434.539062,18502.470703,18410.880859,18496.689453,151700,18496.689453
2016-12-06,18457.199219,18484.800781,18318.990234,18360.539062,154000,18360.539062
2016-12-05,18349.919922,18365.740234,18227.390625,18274.990234,130500,18274.990234
2016-12-02,18435.550781,18469.679688,18315.380859,18426.080078,191300,18426.080078
2016-12-01,18535.240234,18746.279297,18469.269531,18513.119141,182400,18513.119141
2016-11-30,18356.029297,18370.310547,18280.660156,18308.480469,000,18308.480469
2016-11-29,18263.630859,18327.509766,18258.820312,18307.039062,121800,18307.039062
2016-11-28,18302.580078,18374.929688,18222.820312,18356.890625,000,18356.890625
2016-11-25,18387.589844,18482.939453,18288.50,18381.220703,160000,18381.220703
2016-11-24,18329.779297,18382.720703,18310.310547,18333.410156,144900,18333.410156
2016-11-22,18091.050781,18175.630859,18050.550781,18162.939453,118200,18162.939453
2016-11-21,18038.089844,18129.029297,18007.789062,18106.019531,000,18106.019531
2016-11-18,18024.210938,18043.720703,17967.410156,17967.410156,161800,17967.410156
2016-11-17,17766.609375,17884.060547,17764.080078,17862.630859,000,17862.630859
2016-11-16,17832.509766,17886.439453,17807.470703,17862.210938,194300,17862.210938
2016-11-15,17668.150391,17668.150391,17668.150391,17668.150391,000,17668.150391
2016-11-14,17467.490234,17697.330078,17455.779297,17672.619141,000,17672.619141
2016-11-11,17526.609375,17621.730469,17333.490234,17374.789062,241800,17374.789062
2016-11-10,16562.859375,17393.820312,1560.660034,17344.419922,222500,17344.419922
2016-11-09,17281.949219,17427.710938,16111.80957,16251.540039,000,16251.540039
2016-11-08,17242.699219,17247.039062,17130.830078,17171.380859,100000,17171.380859
2016-11-07,17126.029297,17186.890625,17056.839844,17177.210938,000,17177.210938
2016-11-04,16964.50,16996.089844,16801.980469,16905.359375,130800,16905.359375
2016-11-02,17238.00,17283.599609,17080.589844,17134.679688,131100,17134.679688
2016-11-01,17380.539062,17473.119141,17339.640625,17442.400391,119300,17442.400391
2016-10-31,17360.890625,17433.130859,17327.619141,17425.019531,152500,17425.019531
2016-10-28,17448.25,17461.029297,17406.720703,17446.410156,162900,17446.410156
2016-10-27,17346.390625,17414.210938,17278.119141,17336.419922,104400,17336.419922
2016-10-26,17329.029297,17391.839844,17295.460938,17391.839844,95200,17391.839844
2016-10-25,17298.630859,17381.800781,17298.630859,17365.25,105100,17365.25
2016-10-24,17216.560547,17244.740234,17162.210938,17234.419922,85100,17234.419922
2016-10-21,17283.75,17288.890625,17151.980469,17184.589844,110800,17184.589844
2016-10-20,16999.359375,17235.50,16992.140625,17235.50,109000,17235.50
